epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.571,1.48931,3.24534,1.83569,0.52704,0.43647,0.46079,0.22047,1.7289,2.14251,2.27733,0.000208044,0.000208044,0.000208044
2,333.864,1.47931,2.49538,1.79493,0.51877,0.43032,0.43671,0.20892,1.83213,2.05526,2.26807,0.000408133,0.000408133,0.000408133
3,485.174,1.48594,2.26816,1.79467,0.56031,0.48063,0.51306,0.26019,1.73746,1.99309,2.21458,0.000599972,0.000599972,0.000599972
4,635.017,1.47736,2.10334,1.78349,0.573,0.51598,0.52512,0.26284,1.79339,1.89809,2.29757,0.000587875,0.000587875,0.000587875
5,4869.31,1.45064,1.99511,1.75655,0.68441,0.58664,0.63541,0.34809,1.64507,1.56405,2.12201,0.0005755,0.0005755,0.0005755
6,5024.7,1.43005,1.88232,1.73826,0.65693,0.57945,0.61937,0.33167,1.65548,1.59626,2.13826,0.000563125,0.000563125,0.000563125
7,5175.39,1.41133,1.80722,1.71974,0.73185,0.59516,0.65404,0.33882,1.69448,1.49493,2.19875,0.00055075,0.00055075,0.00055075
8,5322.57,1.403,1.73816,1.71013,0.76908,0.64078,0.69001,0.38074,1.64768,1.40389,2.12039,0.000538375,0.000538375,0.000538375
9,5472.51,1.38264,1.68493,1.69315,0.75832,0.62791,0.68881,0.37984,1.62886,1.35964,2.10469,0.000526,0.000526,0.000526
10,5619.58,1.36989,1.61746,1.6868,0.73015,0.62268,0.67094,0.3766,1.57713,1.3904,2.05759,0.000513625,0.000513625,0.000513625
11,9131.91,1.3627,1.60011,1.67546,0.72544,0.65416,0.69494,0.38537,1.59856,1.34258,2.06868,0.00050125,0.00050125,0.00050125
12,9278.55,1.34411,1.54636,1.66429,0.73454,0.63259,0.69765,0.39078,1.58922,1.34857,2.05174,0.000488875,0.000488875,0.000488875
13,9424.52,1.33608,1.51377,1.64952,0.78683,0.63374,0.70653,0.4061,1.56285,1.33017,2.02947,0.0004765,0.0004765,0.0004765
14,9572.82,1.31642,1.48797,1.6414,0.81061,0.66311,0.72252,0.40686,1.56763,1.24563,2.03149,0.000464125,0.000464125,0.000464125
15,9734.01,1.32015,1.45417,1.63657,0.73671,0.69301,0.72122,0.41335,1.55263,1.2124,2.01366,0.00045175,0.00045175,0.00045175
16,9890.2,1.30352,1.41647,1.62233,0.78896,0.6768,0.7423,0.42606,1.53604,1.18223,2.01175,0.000439375,0.000439375,0.000439375
17,10038.2,1.29492,1.37578,1.61196,0.78643,0.67729,0.72989,0.41677,1.54685,1.20143,2.00692,0.000427,0.000427,0.000427
18,10184,1.28485,1.35578,1.60586,0.81136,0.68535,0.74191,0.43242,1.51596,1.16674,1.98362,0.000414625,0.000414625,0.000414625
19,10339.4,1.27982,1.32565,1.6011,0.81065,0.67053,0.72721,0.41741,1.57437,1.17809,2.02432,0.00040225,0.00040225,0.00040225
20,10490.7,1.26961,1.3194,1.58729,0.81888,0.67372,0.73509,0.42305,1.55396,1.18188,2.01111,0.000389875,0.000389875,0.000389875
21,156.589,1.2651,1.29793,1.58739,0.83558,0.6976,0.7547,0.43453,1.54191,1.14234,2.00289,0.0003775,0.0003775,0.0003775
22,300.781,1.25047,1.27282,1.58053,0.80344,0.70287,0.7505,0.42748,1.53858,1.14916,2.00463,0.000365125,0.000365125,0.000365125
23,443.191,1.23967,1.25731,1.57259,0.81715,0.70576,0.74916,0.44056,1.52416,1.13065,1.98232,0.00035275,0.00035275,0.00035275
24,588.276,1.23357,1.22268,1.56414,0.8279,0.70514,0.75304,0.43608,1.5398,1.12118,2.00484,0.000340375,0.000340375,0.000340375
25,730.954,1.2216,1.20522,1.55381,0.7969,0.70529,0.74534,0.43452,1.55048,1.09596,2.01558,0.000328,0.000328,0.000328
26,872.647,1.21602,1.19752,1.55072,0.77803,0.72666,0.75761,0.4431,1.53558,1.09966,2.00516,0.000315625,0.000315625,0.000315625
27,1019.53,1.20703,1.16939,1.53706,0.82309,0.71626,0.76448,0.4486,1.52007,1.08773,2.00156,0.00030325,0.00030325,0.00030325
28,1157.42,1.20187,1.15473,1.53196,0.82222,0.70974,0.75954,0.442,1.5334,1.0794,2.0106,0.000290875,0.000290875,0.000290875
29,1294.99,1.19109,1.13492,1.52261,0.8169,0.70231,0.75691,0.4472,1.51633,1.07257,1.99296,0.0002785,0.0002785,0.0002785
30,1430.93,1.17717,1.11174,1.51757,0.82814,0.70589,0.76022,0.44596,1.52765,1.08972,1.99451,0.000266125,0.000266125,0.000266125
31,1567.83,1.17529,1.09554,1.50797,0.82792,0.70143,0.76422,0.44469,1.53184,1.09297,2.01512,0.00025375,0.00025375,0.00025375
32,1704.79,1.15723,1.08012,1.50302,0.81535,0.71024,0.76435,0.44664,1.5274,1.07345,2.01344,0.000241375,0.000241375,0.000241375
33,1846.76,1.1563,1.07135,1.49511,0.8717,0.69409,0.77079,0.44312,1.54246,1.07411,2.01353,0.000229,0.000229,0.000229
34,1994.32,1.1415,1.05719,1.48747,0.83121,0.71453,0.7715,0.45028,1.53573,1.05767,2.01755,0.000216625,0.000216625,0.000216625
35,2139.66,1.1338,1.03622,1.48119,0.81955,0.72564,0.77364,0.44713,1.54616,1.05739,2.03232,0.00020425,0.00020425,0.00020425
36,2281.93,1.12451,1.01567,1.47161,0.82675,0.71351,0.77132,0.45048,1.54477,1.07748,2.04648,0.000191875,0.000191875,0.000191875
37,2423.88,1.11387,0.98927,1.46026,0.80635,0.73616,0.77849,0.44975,1.54588,1.05048,2.04649,0.0001795,0.0001795,0.0001795
38,2567.65,1.1044,0.9863,1.45561,0.83814,0.70751,0.77339,0.44456,1.54958,1.06518,2.06112,0.000167125,0.000167125,0.000167125
39,2711.78,1.09606,0.97463,1.45239,0.83107,0.7071,0.77204,0.44361,1.5664,1.0721,2.07589,0.00015475,0.00015475,0.00015475
40,2858.72,1.08669,0.96928,1.43986,0.83524,0.723,0.7744,0.4469,1.55108,1.06201,2.05768,0.000142375,0.000142375,0.000142375
41,173.474,1.07524,0.67339,1.55986,0.84746,0.71661,0.76809,0.44379,1.55747,1.07344,2.05289,0.00013,0.00013,0.00013
42,320.82,1.04466,0.64031,1.53261,0.82062,0.71773,0.76959,0.44449,1.55369,1.06707,2.05578,0.000117625,0.000117625,0.000117625
43,470.79,1.02441,0.61794,1.51383,0.82485,0.70382,0.76348,0.43922,1.57179,1.08091,2.08651,0.00010525,0.00010525,0.00010525
44,607.396,1.00806,0.60196,1.49275,0.83161,0.70275,0.7593,0.43893,1.57567,1.06796,2.09905,9.2875e-05,9.2875e-05,9.2875e-05
45,746.363,0.99735,0.59284,1.4872,0.83783,0.69917,0.75973,0.43781,1.56915,1.0711,2.10177,8.05e-05,8.05e-05,8.05e-05
46,882.108,0.99039,0.57931,1.48043,0.85008,0.68962,0.75872,0.43212,1.57667,1.07133,2.11927,6.8125e-05,6.8125e-05,6.8125e-05
47,1022.65,0.96579,0.56619,1.45595,0.81712,0.70991,0.75392,0.42958,1.58461,1.08177,2.13609,5.575e-05,5.575e-05,5.575e-05
48,1167.73,0.95072,0.55361,1.4422,0.80868,0.71497,0.75645,0.42979,1.59036,1.07663,2.16167,4.3375e-05,4.3375e-05,4.3375e-05
49,1318.47,0.94497,0.55102,1.442,0.82909,0.69621,0.75629,0.4307,1.59767,1.07785,2.16747,3.1e-05,3.1e-05,3.1e-05
50,1460.87,0.933,0.54523,1.43211,0.83306,0.69186,0.75648,0.42942,1.59955,1.07841,2.17016,1.8625e-05,1.8625e-05,1.8625e-05
